视频标题,弹幕数,网址,bvid,页数
日本首相岸田文雄宣布：8月24日开始将福岛核污染水排海,18,http://www.bilibili.com/video/av575008813,BV14z4y1u7iZ,6
韩国民众集会反对日本核污染水排海,11,http://www.bilibili.com/video/av872150030,BV1iV4y1v7b7,6
外交部：如果核污染水安全，就没有必要排海；如果不安全，就更不应该排海。,5,http://www.bilibili.com/video/av275130357,BV11F411C7WZ,6
日方应立即停止核污染水排海，以负责任方式回应国际社会关切,277,http://www.bilibili.com/video/av830408789,BV1Mu4y1Q78b,6
日本已排放核污染水超4200吨 日政府为水产品谋划新出口目的地,254,http://www.bilibili.com/video/av533005472,BV1Au411P7ye,6
8月24日起，日本将开始核污染水排海,40,http://www.bilibili.com/video/av702605275,BV1qm4y1M7Jv,6
中国外交部：日本核污染水排海是将自身置于国际被告席,2,http://www.bilibili.com/video/av405152857,BV1uG411Z7jh,6
韩国民众集会反对日本将核污染水排海,17,http://www.bilibili.com/video/av872196083,BV1EV4y1Y7d9,6
日媒：日本政府计划最早8月下旬开始核污染水排海,904,http://www.bilibili.com/video/av702106157,BV1gm4y1p7vC,6
福岛核污染水排海安全性首份报告出炉,112,http://www.bilibili.com/video/av641163545,BV1KY4y1h76P,6
航拍：日本核污染水开始排海 多角度直击福岛第一核电站,20,http://www.bilibili.com/video/av660215738,BV11h4y1U7wB,6
汪文斌：中方将受邀加入日本核污染水排海技术工作组,74,http://www.bilibili.com/video/av290271492,BV1hf4y1p7qa,6
多国民众抗议日本核污染水排海，网友：世界可以没有日本，但不能没有大海,0,http://www.bilibili.com/video/av320140548,BV1mw411D7zA,6
日本核污染水排海引担忧：赴日旅游热度下降 部分游客退票,26,http://www.bilibili.com/video/av275275697,BV1qF411r7DF,6
三农锐评丨日本核污染水悍然排海，不是不吃日本海鲜那么简单,41,http://www.bilibili.com/video/av745146232,BV1hr4y1R7rX,6
日本正式启动核污染水排海 外交部：日本排海行径是极端自私和不负责任之举,17,http://www.bilibili.com/video/av830176652,BV14u4y1X7ZW,6
总台记者进入日本福岛第一核电站实地探访,1354,http://www.bilibili.com/video/av405258032,BV16G411Z7H2,6
外交部：李强总理应约与岸田文雄简短交谈 就福岛核污染水排海阐明中方立场,0,http://www.bilibili.com/video/av618193807,BV13h4y1P7SM,6
日本百万吨核污染水入海，有何危害？,460,http://www.bilibili.com/video/av643823729,BV1DY4y1j76j,6
外交部：建议日本把核污染水供给某些人饮用或游泳,22,http://www.bilibili.com/video/av658273106,BV14h4y1Z7xo,6
日本核污染水排海正式开始，国际法专家：此举违背国际义务！,3,http://www.bilibili.com/video/av405134412,BV1QG411o7D8,6
日驻华使馆核污水排海记者会不邀请中国记者 还不满中方使用“核污染水”称谓,319,http://www.bilibili.com/video/av912978037,BV1oM4y177K5,6
国际原子能机构报告不能成为日方排海“通行证”,628,http://www.bilibili.com/video/av617656387,BV1fh4y1K7Yq,6
福岛“核污染水排海”述评二：用“处理水”偷换概念,5,http://www.bilibili.com/video/av402614296,BV1Co4y1P7g6,6
日本呼吁中方取消对日食品进口限制 外交部：有关措施有理有据,1125,http://www.bilibili.com/video/av446220419,BV1Lj411R7Sn,6
驻日本大使吴江浩：中方的立场非常明确 日方应立刻叫停核污染水排海计划,200,http://www.bilibili.com/video/av360606796,BV1sX4y1H7gt,6
日本核污染水排放会影响哪里？73秒看核污染水扩散路径,7,http://www.bilibili.com/video/av617657327,BV1fh4y1K71M,6
日本百万吨核污染水入海，有何危害？,460,http://www.bilibili.com/video/av643823729,BV1DY4y1j76j,7
为何支持日本排放核污水？原来美国是“资深前辈”,253,http://www.bilibili.com/video/av672913442,BV1hU4y187Su,7
数百名韩国民众抗议日本核污染水排海直呼：我们不知道会发生什么,25,http://www.bilibili.com/video/av617610650,BV1b84y1Z72U,7
总台记者探访丨日本决定核污染水排海一年后 福岛民众充满担忧与无奈,519,http://www.bilibili.com/video/av383246476,BV1JZ4y1m7w6,7
日本首相岸田文雄宣布：8月24日开始将福岛核污染水排海,18,http://www.bilibili.com/video/av575008813,BV14z4y1u7iZ,7
根据数据和地理测算，日本核污染水排放会影响哪里？一则视频看懂。（来源：@玉渊谭天）,42,http://www.bilibili.com/video/av575240395,BV1dz4y1T7jF,7
日本公布核污染水排海正式启动现场画面,45,http://www.bilibili.com/video/av447646442,BV1Yj411q71x,7
福岛“核污染水排海”述评一：“海上切尔诺贝利化”成为现实？,3,http://www.bilibili.com/video/av487557751,BV1yN411r7Pr,7
福岛核污染水排海安全性首份报告出炉,112,http://www.bilibili.com/video/av641163545,BV1KY4y1h76P,7
偷换概念，粉饰灾难！梳理日本东电公司核事故以来的瞒报“黑历史”,27,http://www.bilibili.com/video/av320271920,BV1tw411Q7ra,7
中国外交部：日本核污染水排海是将自身置于国际被告席,2,http://www.bilibili.com/video/av405152857,BV1uG411Z7jh,7
日本福岛核污染水首次排海将持续17天左右,221,http://www.bilibili.com/video/av660195453,BV1th4y1U7rQ,7
核污染水排海不是个别国家“开绿灯”就可畅行无阻，日方对此不应视而不见，更不能自欺欺人。,0,http://www.bilibili.com/video/av830267978,BV1ju4y1D7Ti,7
日本福岛居民：我不想让别人指着我那样说……,112,http://www.bilibili.com/video/av569891190,BV1Cv4y1H766,7
日本专家表示：福岛核污染水与正常核电站所排放的废水完全不同,160,http://www.bilibili.com/video/av915185123,BV13u4y1e7BQ,7
福岛渔民：岸田文雄作为日本首相就有权污染我们的工作场所吗？,901,http://www.bilibili.com/video/av490128307,BV1BN411B7ap,7
日本处理核污染水采用的ALPS到底靠不靠谱？,400,http://www.bilibili.com/video/av575242634,BV1Tz4y1M7dx,7
海关总署：即日起全面暂停进口原产地为日本的水产品,605,http://www.bilibili.com/video/av702682024,BV13m4y1u7af,7
韩国民众集会反对日本将核污染水排海,17,http://www.bilibili.com/video/av872196083,BV1EV4y1Y7d9,7
汪文斌：中方将受邀加入日本核污染水排海技术工作组,74,http://www.bilibili.com/video/av290271492,BV1hf4y1p7qa,7
日本多地民众在福岛集会抗议核污染水排海,32,http://www.bilibili.com/video/av787248412,BV1414y1v7zJ,7
跨度10年！梳理日本核污染水事件始末,767,http://www.bilibili.com/video/av460248681,BV1c5411w7kn,7
三农锐评丨日本核污染水悍然排海，不是不吃日本海鲜那么简单,41,http://www.bilibili.com/video/av745146232,BV1hr4y1R7rX,7
8月24日起，日本将开始核污染水排海,40,http://www.bilibili.com/video/av702605275,BV1qm4y1M7Jv,7
东电承认超6成储存核污水放射物超标,534,http://www.bilibili.com/video/av830260769,BV1Vu4y1D7sh,7
韩国市民团体代表访日 反对核污染水排海,542,http://www.bilibili.com/video/av701579622,BV1Qm4y1s7ZN,7
日方设立“补偿费”只能说明核污染水排海是真有问题、大有问题,870,http://www.bilibili.com/video/av445875462,BV1Aj411f7sx,7
日本已排放核污染水超4200吨 日政府为水产品谋划新出口目的地,254,http://www.bilibili.com/video/av533005472,BV1Au411P7ye,7
日本核污染水排海引担忧：赴日旅游热度下降 部分游客退票,26,http://www.bilibili.com/video/av275275697,BV1qF411r7DF,7
东电承认超6成储存核污水放射物超标 东电称对核污水排放时长无任何计划,152,http://www.bilibili.com/video/av660253174,BV1dh4y1U7hD,7
外交部：不希望今年8月24日成海洋环境灾难日,393,http://www.bilibili.com/video/av745028106,BV1Rr4y197ci,7
韩国民众集会反对日本核污染水排海,11,http://www.bilibili.com/video/av872150030,BV1iV4y1v7b7,7
航拍：日本核污染水开始排海 多角度直击福岛第一核电站,20,http://www.bilibili.com/video/av660215738,BV11h4y1U7wB,7
外交部：无论日方如何“洗白” 核污染水就是核污染水,6,http://www.bilibili.com/video/av530719692,BV1au411j78x,7
“排污入海 不可原谅！”哆啦A梦 迪迦奥特曼都懂的道理 日本政府却不懂！？,101,http://www.bilibili.com/video/av802528940,BV1Uy4y1x7xf,7
日本强推核污染水排海是否具有法律正当性？国际海洋法专家解读,9,http://www.bilibili.com/video/av617602821,BV1484y1Z7YK,7
日本正式启动核污染水排海 外交部：日本排海行径是极端自私和不负责任之举,17,http://www.bilibili.com/video/av830176652,BV14u4y1X7ZW,7
日本核污染水排海正式开始，国际法专家：此举违背国际义务！,3,http://www.bilibili.com/video/av405134412,BV1QG411o7D8,7
2分钟速览，核污染水与核废水的三大区别 &gt;&gt;,51,http://www.bilibili.com/video/av575185715,BV1Dz4y1T7Ng,7
韩国超10万人签名反对日本核污染水排海,8,http://www.bilibili.com/video/av529332796,BV16u411p7Bu,7
外交部：再次敦促日方停止强行推进核污染水排海,2250,http://www.bilibili.com/video/av913080118,BV1yM4y1L7UA,7
日方将核污染水一排了之，同时也将自己置于国际被告席,1887,http://www.bilibili.com/video/av490169120,BV1DN411B71T,7
日本福岛核污染水排海设备开始试运行,1343,http://www.bilibili.com/video/av954668762,BV1HW4y1974f,8
中方：支持国际原子能机构开展工作 不认同日方核污染水排海决定,3,http://www.bilibili.com/video/av817751919,BV1NG4y147MF,8
卫星图看日本福岛核事故迄今影响：周边人口大幅减少 植被区变密密麻麻废水罐,8,http://www.bilibili.com/video/av275097874,BV1vF411C7L3,8
核污染水与核电站废水有什么区别？,28,http://www.bilibili.com/video/av362644897,BV1a94y1z7sh,8
日本政府宣布将启动核污染水排海，外交部：中方将采取一切必要措施维护海洋环境，维护食品安全和公众健康,96,http://www.bilibili.com/video/av960035732,BV1cp4y1K7mL,8
日方称其排海举措受美国肯定 中方：不知道日方还能点出哪个支持排海国家的名字？,1,http://www.bilibili.com/video/av532813268,BV11u411N7sW,8
日本宣布24日启动福岛核污染水排海 外交部：此举极端自私、极不负责任,312,http://www.bilibili.com/video/av787546295,BV1V14y117wq,8
东电承认超6成储存核污水放射物超标,251,http://www.bilibili.com/video/av532790608,BV1qu411N7a8,8
外交部：日方强行排放核污染水极端自私不负责任,1590,http://www.bilibili.com/video/av617635244,BV16h4y1K7zU,8
我们敦促日方信守承诺，停止强推核污染水排海,7,http://www.bilibili.com/video/av480521827,BV1hT41117p9,8
外交部：谁觉得核污染水可以喝，就供给谁,31,http://www.bilibili.com/video/av743334172,BV1Xk4y1P7Ru,8
外交部：敦促日方停止强推核污染水排海的不负责任行径,0,http://www.bilibili.com/video/av435613511,BV1T3411o7ch,8
为何支持日本排放核污水？原来美国是“资深前辈”,253,http://www.bilibili.com/video/av672913442,BV1hU4y187Su,8
数百名韩国民众抗议日本核污染水排海直呼：我们不知道会发生什么,25,http://www.bilibili.com/video/av617610650,BV1b84y1Z72U,8
总台记者探访丨日本决定核污染水排海一年后 福岛民众充满担忧与无奈,519,http://www.bilibili.com/video/av383246476,BV1JZ4y1m7w6,8
日本百万吨核污染水入海，有何危害？,460,http://www.bilibili.com/video/av643823729,BV1DY4y1j76j,8
美国街头采访年轻人对日本核污水排海看法，20人中仅1个韩国人知道,19,http://www.bilibili.com/video/av447836529,BV14j41127HZ,8
日方将核污染水一排了之，同时也将自己置于国际被告席,1887,http://www.bilibili.com/video/av490169120,BV1DN411B71T,8
日本公布核污染水排海正式启动现场画面,45,http://www.bilibili.com/video/av447646442,BV1Yj411q71x,8
韩国最大在野党党首：日本应“自饮”排海核污水,56,http://www.bilibili.com/video/av401170950,BV1wo4y1F7GV,8
日本核污染水排海设备今天开始试运行,6,http://www.bilibili.com/video/av314721472,BV1rP411B7sA,8
日本首相岸田文雄宣布：8月24日开始将福岛核污染水排海,18,http://www.bilibili.com/video/av575008813,BV14z4y1u7iZ,8
福岛核污染水排海安全性首份报告出炉,112,http://www.bilibili.com/video/av641163545,BV1KY4y1h76P,8
韩在野党称仿佛看到日本为韩国政府的辛苦努力鼓掌,71,http://www.bilibili.com/video/av617997741,BV1Qh4y1N729,8
偷换概念，粉饰灾难！梳理日本东电公司核事故以来的瞒报“黑历史”,27,http://www.bilibili.com/video/av320271920,BV1tw411Q7ra,8
外交部：日方应当立即纠正错误，不要让福岛之水成为日本之耻,8,http://www.bilibili.com/video/av490209707,BV1aN411i7qq,8
中国外交部：日本核污染水排海是将自身置于国际被告席,2,http://www.bilibili.com/video/av405152857,BV1uG411Z7jh,8
日媒：福岛核污水将从海底隧道排至近海,1579,http://www.bilibili.com/video/av717503478,BV1RQ4y1y7ko,8
日本福岛核污染水首次排海将持续17天左右,221,http://www.bilibili.com/video/av660195453,BV1th4y1U7rQ,8
海关总署：全面暂停进口日本水产品,503,http://www.bilibili.com/video/av957738726,BV1xp4y1E7Fk,8
美国对日本核废水排放入海表示支持：感谢日方的透明、努力,2015,http://www.bilibili.com/video/av587549496,BV1CB4y1w7Hf,8
韩国民众集会反对日本将核污染水排海,17,http://www.bilibili.com/video/av872196083,BV1EV4y1Y7d9,8
日本多地民众在福岛集会抗议核污染水排海,32,http://www.bilibili.com/video/av787248412,BV1414y1v7zJ,8
汪文斌：中方将受邀加入日本核污染水排海技术工作组,74,http://www.bilibili.com/video/av290271492,BV1hf4y1p7qa,8
三农锐评丨日本核污染水悍然排海，不是不吃日本海鲜那么简单,41,http://www.bilibili.com/video/av745146232,BV1hr4y1R7rX,8
中国是否考虑就日本启动排海出台新管制措施？外交部：将采取必要措施,119,http://www.bilibili.com/video/av660035394,BV1nh4y1D7v2,8
8月24日起，日本将开始核污染水排海,40,http://www.bilibili.com/video/av702605275,BV1qm4y1M7Jv,8
日本核污染水排海，背后的账该怎么算？,2,http://www.bilibili.com/video/av743090562,BV1tk4y1K7UT,8
无论怎么洗白核污染水都不是正常水！,273,http://www.bilibili.com/video/av273237392,BV1rF411X7ZA,8
日本原子能规制委员会正式批准核污染水排海计划,12,http://www.bilibili.com/video/av513720428,BV1zg411Z7pA,8
韩国市民团体代表访日 反对核污染水排海,542,http://www.bilibili.com/video/av701579622,BV1Qm4y1s7ZN,8
日本已排放核污染水超4200吨 日政府为水产品谋划新出口目的地,254,http://www.bilibili.com/video/av533005472,BV1Au411P7ye,8
日本处理核污染水采用的ALPS到底靠不靠谱？,400,http://www.bilibili.com/video/av575242634,BV1Tz4y1M7dx,9
海关总署：即日起全面暂停进口原产地为日本的水产品,605,http://www.bilibili.com/video/av702682024,BV13m4y1u7af,9
外交部回应日本正式批准核污染水排海计划：极其不负责任 坚决反对,15,http://www.bilibili.com/video/av686213235,BV1XU4y1i7CS,9
国际原子能机构称日本核污染水排海计划符合国际安全标准,85,http://www.bilibili.com/video/av743046899,BV1Pk4y1K7x5,9
跨度10年！梳理日本核污染水事件始末,767,http://www.bilibili.com/video/av460248681,BV1c5411w7kn,9
东电承认超6成储存核污水放射物超标,534,http://www.bilibili.com/video/av830260769,BV1Vu4y1D7sh,9
直击广岛长崎民众抗议核污染水排海现场：吃核食品等同于淋&quot;黑雨&quot;,13,http://www.bilibili.com/video/av745162382,BV1xr4y1R7CB,9
日方设立“补偿费”只能说明核污染水排海是真有问题、大有问题,870,http://www.bilibili.com/video/av445875462,BV1Aj411f7sx,9
东电承认超6成储存核污水放射物超标 东电称对核污水排放时长无任何计划,152,http://www.bilibili.com/video/av660253174,BV1dh4y1U7hD,9
外交部：不希望今年8月24日成海洋环境灾难日,393,http://www.bilibili.com/video/av745028106,BV1Rr4y197ci,9
日本核污染水排海设施准备已全部就绪,179,http://www.bilibili.com/video/av700675776,BV1Vm4y1n7vX,9
外交部：无论日方如何“洗白” 核污染水就是核污染水,6,http://www.bilibili.com/video/av530719692,BV1au411j78x,9
“排污入海 不可原谅！”哆啦A梦 迪迦奥特曼都懂的道理 日本政府却不懂！？,101,http://www.bilibili.com/video/av802528940,BV1Uy4y1x7xf,9
日本强推核污染水排海是否具有法律正当性？国际海洋法专家解读,9,http://www.bilibili.com/video/av617602821,BV1484y1Z7YK,9
日本单方面宣称今年春夏启动核污染水排海 外交部三连反问,23,http://www.bilibili.com/video/av223689196,BV1J8411g7ue,9
韩国超10万人签名反对日本核污染水排海,8,http://www.bilibili.com/video/av529332796,BV16u411p7Bu,9
外交部：再次敦促日方停止强行推进核污染水排海,2250,http://www.bilibili.com/video/av913080118,BV1yM4y1L7UA,9
日方将核污染水一排了之，同时也将自己置于国际被告席,1887,http://www.bilibili.com/video/av490169120,BV1DN411B71T,9
8月24日会成为“海洋灾难日”吗？日本核污水将这样影响你我！,19,http://www.bilibili.com/video/av362842020,BV1K94y147yf,9
外交部：福岛核污染水排海不是日本一家的私事 而是关系海洋环境和人类健康的大事,2,http://www.bilibili.com/video/av440975738,BV1sL411k7H6,9
日本核污染水排海台湾民众疑似在抢盐！超市货架全搬空,4,http://www.bilibili.com/video/av575351984,BV1zz4y1M7iB,9
外交部：日本选择将核污染水向海洋一排了之是不负责任之举,0,http://www.bilibili.com/video/av741497824,BV1ck4y1x7N8,9
日方不得擅自启动核污染水排海,161,http://www.bilibili.com/video/av265414958,BV1kY41197F7,9
一意孤行！福岛核污染水排海计划今日正式开工,2330,http://www.bilibili.com/video/av514201607,BV1Mg411y7Qj,9
根据数据和地理测算，日本核污染水排放会影响哪里？,765,http://www.bilibili.com/video/av915227534,BV1ju4y1e7pc,9
日方称其排海举措受美国肯定 中方：不知道日方还能点出哪个支持排海国家的名字？,1,http://www.bilibili.com/video/av532813268,BV11u411N7sW,9
我们敦促日方信守承诺，停止强推核污染水排海,7,http://www.bilibili.com/video/av480521827,BV1hT41117p9,9
世卫大会上，中日代表就“福岛核电站核污染水排海”问题交锋,85,http://www.bilibili.com/video/av888250056,BV1kK4y1G7Xe,9
外务省经费已到账？这群人在说日本核污染水无害,2305,http://www.bilibili.com/video/av872829079,BV1nN4y1R7b1,9
震惊：日本政府向学生发传单宣传核污染水“安全”,106,http://www.bilibili.com/video/av979164385,BV1D44y1J7Jj,9
福岛“核污染水排海”述评三：核污染水入海覆水难收,4,http://www.bilibili.com/video/av230020316,BV1Kh411K7Q3,9
中方：支持国际原子能机构开展工作 不认同日方核污染水排海决定,3,http://www.bilibili.com/video/av817751919,BV1NG4y147MF,9
韩议员与日本市民团体抗议核污染水排海 韩执政党：丢人现眼到国际,10,http://www.bilibili.com/video/av998335957,BV1Gx4y1o7Gh,9
多方反对日本强推核污染水排海 记者拍摄排海口附近画面,3,http://www.bilibili.com/video/av490185353,BV1KN411z755,9
外交部：日方强推核污染水排海，自私自利、不负责任、不得人心,3063,http://www.bilibili.com/video/av360751507,BV1994y1q7C9,9
日媒：福岛核污水将从海底隧道排至近海,1579,http://www.bilibili.com/video/av717503478,BV1RQ4y1y7ko,9
福岛核污染水再次发生泄露，加剧了国际社会的担忧,265,http://www.bilibili.com/video/av232498713,BV1m8411972r,9
核污染水与核电站废水有什么区别？,28,http://www.bilibili.com/video/av362644897,BV1a94y1z7sh,9
日本强推核污染水排海方案，外交部：十分不负责任,88,http://www.bilibili.com/video/av940951771,BV1HW4y1m7fv,9
日本核污染水下午排入海洋 官员忙于吃鱼作秀,42,http://www.bilibili.com/video/av532744963,BV1Wu411N7qb,9
洗脑神曲《倒污水》（Let the waste out）独家幕后花絮大揭秘！,4,http://www.bilibili.com/video/av960283987,BV1qp4y1P7pb,9
日本核污染水排海正式开始，直击日本核污染水排海现场画面,36,http://www.bilibili.com/video/av660177132,BV1eh4y1U7My,9
