视频标题,弹幕数,网址,bvid,页数
“蔡英文出来面对” 台湾民代抗议蔡英文对日本核污染水排海失声,49,http://www.bilibili.com/video/av232879671,BV1t8411z7gb,2
日本政府：8月24日将启动福岛核污染水排海,7025,http://www.bilibili.com/video/av275018175,BV1cF411C7ZF,2
德国博主批日本核污染水排海：严重违反国际法！,70,http://www.bilibili.com/video/av617819154,BV1mh4y1T7Mk,2
日本核污染水排海连锁反应汹涌而至,384,http://www.bilibili.com/video/av915397894,BV1Tu4y1v7jc,2
福岛核污染水排海进入倒计时  周边国家抗议声不断,669,http://www.bilibili.com/video/av785198420,BV1v14y127eB,2
【中国3分钟】起底日本核污染水排海的自私与不负责,0,http://www.bilibili.com/video/av575331409,BV1pz4y1M7mK,2
24日起日本将开始核污染水排海,1383,http://www.bilibili.com/video/av320101390,BV1ew411D72o,2
核污染水！日本大臣终于说了实话，岸田很生气,407,http://www.bilibili.com/video/av787973820,BV1k14y1y7zU,2
现场直击！无视多方反对 日本已启动福岛核污染水排海,416,http://www.bilibili.com/video/av745190457,BV1yr4y1R7XY,2
上万韩国民众在首尔市中心举行集会 谴责日本核污染水排海,21,http://www.bilibili.com/video/av320519096,BV1Gw411D7Hk,2
外交部：强烈敦促日方纠正错误 撤销核污染水排海,1189,http://www.bilibili.com/video/av702618681,BV1Sm4y1M7o1,2
日本核污染水排海进程时间线,886,http://www.bilibili.com/video/av872694521,BV1zN4y1974p,2
日本民众在东京电力公司外抗议核污染水排海,42,http://www.bilibili.com/video/av447724554,BV1oj411q7b8,2
日本核污染水排海 替代方案没有得到充分考虑,6,http://www.bilibili.com/video/av447646940,BV1Yj411q77V,2
日本核污染水24日排海！民众集会抗议、渔民重申反对,4259,http://www.bilibili.com/video/av362506995,BV1J94y1r7X5,2
外交部：日方发明了“处理水”这个名词 偷换概念的做法蒙蔽不了国际社会,26,http://www.bilibili.com/video/av618199058,BV1Gh4y1P75V,2
8月24日起日本将开始核污染水排海,2117,http://www.bilibili.com/video/av320068510,BV1Kw41197pD,2
日本全渔联向政府递交请愿书 重申反对核污染水排海,86,http://www.bilibili.com/video/av402632741,BV1Fo4y1N7BP,2
假装不知道、偷换概念......2分钟看日本强推核污染水排海5大手段,69,http://www.bilibili.com/video/av275265983,BV11F411r774,2
国际原子能机构总干事访韩讨论日本核污染水排海计划，遭大批韩国民众抵制,205,http://www.bilibili.com/video/av488145025,BV14N411m7rv,2
起底日本核污染水排海的背后,81,http://www.bilibili.com/video/av745130539,BV1Lr4y1R7Cr,2
日本政府宣布8月24日启动核污染水排海 多方反对,320,http://www.bilibili.com/video/av490214042,BV1YN411i79D,2
外交部：除了美国，日方还能点出哪国支持日本核污染水排海？,37,http://www.bilibili.com/video/av447848592,BV16j41127zy,2
日本政府用800亿日元补偿费“息事宁人”？外交部：说明核污染水排海大有问题！,152,http://www.bilibili.com/video/av315910947,BV1NP411k7zF,2
日本核污染水排海 民众忍无可忍,57,http://www.bilibili.com/video/av957652516,BV1up4y1E7Vf,2
外交部回应日本强推核污染水排海：这是向全世界转嫁核污染风险,18,http://www.bilibili.com/video/av872577002,BV1CN4y1d71D,2
日本核污染水已排入大海,706,http://www.bilibili.com/video/av532728695,BV1uu411N7Fj,2
日本24日13时将启动核污染水排海 外交部：若日方坚持强推，中方将采取必要措施,2463,http://www.bilibili.com/video/av660027570,BV1th4y1D7n2,2
日本政府将核污染水排海的决定受到日本国内外专家的谴责,340,http://www.bilibili.com/video/av273052520,BV14F411R78D,2
140秒看福岛核污染水排海影响：放射元素或破坏人类DNA 10年后蔓延至全球海域,3,http://www.bilibili.com/video/av320241723,BV18w411Q7Am,2
赞比亚环保人士：日本强推核污染水排海害人害己,139,http://www.bilibili.com/video/av274130293,BV1Zc411F7jh,2
核污染水排海后或将化作雨水洒遍全球,1583,http://www.bilibili.com/video/av362691648,BV1194y1z7M3,2
两人大言不惭地称，“中国游客想来日本旅游的话，先喝福岛的核污水，同时还要让他们去福岛的海里游上一圈,3306,http://www.bilibili.com/video/av232978633,BV1o8411z7XM,2
日本核污染水24日排海！民众集会抗议、渔民重申反对,4259,http://www.bilibili.com/video/av362506995,BV1J94y1r7X5,3
日本东电承认储罐中超6成核污染水放射性物质超标,1271,http://www.bilibili.com/video/av532830460,BV16u411N7gL,3
日本政府宣布24日启动福岛核污染水排海,2839,http://www.bilibili.com/video/av490049487,BV1HN411B7fh,3
“蔡英文出来面对” 台湾民代抗议蔡英文对日本核污染水排海失声,49,http://www.bilibili.com/video/av232879671,BV1t8411z7gb,3
扩转！核污染水与核电站废水不是一码事,42,http://www.bilibili.com/video/av317728937,BV11P411a71Q,3
日媒：日本计划今年4次排放核污染水,86,http://www.bilibili.com/video/av317627191,BV13P411W7wn,3
外交部：强烈敦促日方纠正错误 撤销核污染水排海,1189,http://www.bilibili.com/video/av702618681,BV1Sm4y1M7o1,3
最全梳理！央视带你了解日本核污染水事件10年始末,222,http://www.bilibili.com/video/av630225683,BV1584y1F7Tg,3
日本民众在东京电力公司外抗议核污染水排海,42,http://www.bilibili.com/video/av447724554,BV1oj411q7b8,3
假装不知道、偷换概念......2分钟看日本强推核污染水排海5大手段,69,http://www.bilibili.com/video/av275265983,BV11F411r774,3
《福岛记忆》揭开谎言掩饰下的日本核污染水真相,1626,http://www.bilibili.com/video/av660219596,BV12h4y1U7ue,3
现场直击！无视多方反对 日本已启动福岛核污染水排海,416,http://www.bilibili.com/video/av745190457,BV1yr4y1R7XY,3
日本核污染水排海 替代方案没有得到充分考虑,6,http://www.bilibili.com/video/av447646940,BV1Yj411q77V,3
日本政府正式启动福岛第一核电站的核污染水排入大海。,8,http://www.bilibili.com/video/av532663150,BV15u411E72y,3
多国民众抗议日本核污染水排海，网友：世界可以没有日本，但不能没有大海,0,http://www.bilibili.com/video/av320140548,BV1mw411D7zA,3
办公室老外听到日本排放核污染水之后,613,http://www.bilibili.com/video/av490202040,BV1cN411z74t,3
吃下核污染食品后果有多严重 核辐射是如何伤害人体的？,1547,http://www.bilibili.com/video/av745244193,BV1cr4y1d7QQ,3
日本将用700亿日元处理核污染水负面信息,1091,http://www.bilibili.com/video/av362700949,BV1z94y1z7dC,3
上万韩国民众在首尔市中心举行集会 谴责日本核污染水排海,21,http://www.bilibili.com/video/av320519096,BV1Gw411D7Hk,3
外交部：如果核污染水安全，就没有必要排海；如果不安全，就更不应该排海。,5,http://www.bilibili.com/video/av275130357,BV11F411C7WZ,3
外交部：日方极端自私 中方有权采取防范措施,176,http://www.bilibili.com/video/av957645046,BV1Mp4y1E7kX,3
外交部：除了美国，日方还能点出哪国支持日本核污染水排海？,37,http://www.bilibili.com/video/av447848592,BV16j41127zy,3
8月24日起日本将开始核污染水排海,2117,http://www.bilibili.com/video/av320068510,BV1Kw41197pD,3
即将排海的核污染水中究竟有什么？,402,http://www.bilibili.com/video/av358307973,BV1SX4y1e7AZ,3
中方敦促日方倾听国际社会呼声，停止强推核污染水排海计划,2981,http://www.bilibili.com/video/av403631706,BV17V411K75D,3
起底日本核污染水排海的背后,81,http://www.bilibili.com/video/av745130539,BV1Lr4y1R7Cr,3
外交部：建议日本把核污染水供给某些人饮用或游泳,22,http://www.bilibili.com/video/av658273106,BV14h4y1Z7xo,3
外交部：谁觉得核污染水可以喝就供给谁,75,http://www.bilibili.com/video/av445867632,BV1Dj411Z772,3
日本政府宣布8月24日启动核污染水排海 多方反对,320,http://www.bilibili.com/video/av490214042,BV1YN411i79D,3
外交部：李强总理应约与岸田文雄简短交谈 就福岛核污染水排海阐明中方立场,0,http://www.bilibili.com/video/av618193807,BV13h4y1P7SM,3
福岛“核污染水排海”述评二：用“处理水”偷换概念,5,http://www.bilibili.com/video/av402614296,BV1Co4y1P7g6,3
日本核污染水排海 民众忍无可忍,57,http://www.bilibili.com/video/av957652516,BV1up4y1E7Vf,3
外交部：除了美国，日方还能点出哪国支持日本核污染水排海？,925,http://www.bilibili.com/video/av362774823,BV1G94y167Cj,3
日本核污染水已排入大海,706,http://www.bilibili.com/video/av532728695,BV1uu411N7Fj,3
岸田吃福岛海鲜 被质疑为啥不喝核污染水,514,http://www.bilibili.com/video/av363108886,BV1294y1s7ru,3
国际原子能机构总干事访韩讨论日本核污染水排海计划，遭大批韩国民众抵制,205,http://www.bilibili.com/video/av488145025,BV14N411m7rv,3
核污染水排海后或将化作雨水洒遍全球,1583,http://www.bilibili.com/video/av362691648,BV1194y1z7M3,3
日本政府用800亿日元补偿费“息事宁人”？外交部：说明核污染水排海大有问题！,152,http://www.bilibili.com/video/av315910947,BV1NP411k7zF,3
外交部回应日本强推核污染水排海：这是向全世界转嫁核污染风险,18,http://www.bilibili.com/video/av872577002,BV1CN4y1d71D,3
日本政府将核污染水排海的决定受到日本国内外专家的谴责,340,http://www.bilibili.com/video/av273052520,BV14F411R78D,3
【直播回放】全球多点联动｜日本政府执意启动核污染水排海引发强烈反对,308,http://www.bilibili.com/video/av617677205,BV1Nh4y1T7rQ,3
日本核污染水排海，扩散路径演示！,34,http://www.bilibili.com/video/av872660174,BV1EN4y1o7c3,3
日本核污染水排海，扩散路径演示！,34,http://www.bilibili.com/video/av872660174,BV1EN4y1o7c3,4
【直播回放】全球多点联动｜日本政府执意启动核污染水排海引发强烈反对,308,http://www.bilibili.com/video/av617677205,BV1Nh4y1T7rQ,4
最全梳理！央视带你了解日本核污染水事件10年始末,222,http://www.bilibili.com/video/av630225683,BV1584y1F7Tg,4
日本政府宣布24日启动福岛核污染水排海,493,http://www.bilibili.com/video/av702504874,BV1hm4y1H7eo,4
我国开展管辖海域海洋辐射环境监测 将跟踪研判福岛核污染水排海影响,68,http://www.bilibili.com/video/av915195830,BV1Ku4y1e7JU,4
外交部：除了美国，日方还能点出哪国支持日本核污染水排海？,925,http://www.bilibili.com/video/av362774823,BV1G94y167Cj,4
蓄谋已久 何谈诚信——起底日本核污染水排海决策前后,15,http://www.bilibili.com/video/av957699001,BV1Lp4y1E7AM,4
日本福岛第一核电站启动核污染水排海,12,http://www.bilibili.com/video/av490223320,BV1iN411i7cH,4
韩国高铁配置福岛核污染水排海宣传手册引愤怒，日产水产品引排斥,26,http://www.bilibili.com/video/av915654169,BV1hu4y1y7GC,4
日本福岛民众忍无可忍：“政府说了谎 我们希望中止排海”,718,http://www.bilibili.com/video/av275206774,BV1FF411y7PV,4
韩国石斑鱼销路因日本核污染水排海受阻 已有超100万条鱼死亡,184,http://www.bilibili.com/video/av233114079,BV1M8411B7cE,4
中国代表再严批日本核污染水排海计划：将太平洋当作“下水道”,61,http://www.bilibili.com/video/av615770921,BV1qh4y1E7Zv,4
外交部：谁觉得核污染水可以喝就供给谁,297,http://www.bilibili.com/video/av828343930,BV1Pg4y1A7TA,4
专家：日本核污染水排海至少要持续30年 最大的危险不只是氚,97,http://www.bilibili.com/video/av232507437,BV16841197wp,4
吃下核污染食品后果有多严重 核辐射是如何伤害人体的？,1547,http://www.bilibili.com/video/av745244193,BV1cr4y1d7QQ,4
日本宣布8月24日起将开始核污染水排海,426,http://www.bilibili.com/video/av532555446,BV1Xu41177Pe,4
反对核污染水排海 16名韩国大学生在日本驻韩大使馆前被捕,637,http://www.bilibili.com/video/av232717145,BV1A8411X7tS,4
国际社会对日本核污染水排海的担忧加剧,973,http://www.bilibili.com/video/av572871346,BV1fz4y1J7oo,4
日本称核污染水排海受美国等肯定 外交部发言人：别自欺欺人,69,http://www.bilibili.com/video/av745268427,BV1fr4y1R7G1,4
韩国民众于日本驻济州总领事馆前举行集会 反对日本核污染水排海,5,http://www.bilibili.com/video/av275466396,BV1qF411k7Tf,4
国际原子能机构绝不能为日本核污染水排海的错误行径背书,74,http://www.bilibili.com/video/av700415961,BV1Em4y1Y7WP,4
日本东电称核污染水排海后的检测结果没问题 外交部回应,559,http://www.bilibili.com/video/av232740390,BV138411X7wR,4
总台记者实地探访日本核污染水排出设备，福岛核电站内部画面曝光,68,http://www.bilibili.com/video/av362755468,BV1K94y167j6,4
福岛县渔民：大海不是人类的，是鱼生息的地方,1689,http://www.bilibili.com/video/av317568504,BV19P411p7Nc,4
韩国总统要和反对日本核污染水排海的人作斗争 韩国总理要为日本核污染水更名,207,http://www.bilibili.com/video/av490473403,BV13N411v7am,4
岸田文雄：日本福岛核污染水最早将于8月24日排海,301,http://www.bilibili.com/video/av405122818,BV1fG411o7gf,4
日本官员受访时未将“核污染水”称为“处理水” 结果……,14,http://www.bilibili.com/video/av532892406,BV1fu411N7v8,4
日本东电决定当地时间今天13点开始排放核污染水,2101,http://www.bilibili.com/video/av362706639,BV1694y1z7fh,4
日本已排放超1000吨核污染水,653,http://www.bilibili.com/video/av787788258,BV1214y1C7NJ,4
日本补贴涉渔产业 外交部：说明核污染水排海是真有问题、大有问题,11,http://www.bilibili.com/video/av828434046,BV1Ru4y1U79e,4
日本启动核污染水排海，生态环境部：将持续监测，维护我国家利益和人民健康,40,http://www.bilibili.com/video/av405236064,BV1WG411Z76k,4
